City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
207,Caravelas,BR,83.44,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
208,Petropavlivka,UA,65.75,48.4564,36.4367,scattered clouds,Банька в Петропавловке
209,Saint-Philippe,RE,71.22,-21.3585,55.7679,scattered clouds,"Chambres d'hôte ""La Trinité"""
210,Padang,ID,77.13,-0.9492,100.3543,moderate rain,Mercure Padang
211,Cabo San Lucas,MX,90.7,22.8909,-109.9124,clear sky,Tesoro Los Cabos
212,Laguna,US,76.82,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
214,Luderitz,,64.87,-26.6481,15.1594,broken clouds,LÜDERITZ NEST HOTEL
215,Peniche,PT,81.88,39.3558,-9.3811,overcast clouds,Hotel Star inn Peniche
216,Puerto Escondido,MX,88.63,15.85,-97.0667,clear sky,Aldea del Bazar Hotel and Spa
217,Kapiri Mposhi,ZM,64.87,-13.9652,28.6809,clear sky,MA 22 LODGE
218,Nurota,UZ,91.49,40.5614,65.6886,clear sky,Guest House Ruslan Nurata & Tours
219,Sao Felix Do Xingu,BR,91.2,-6.6447,-51.995,clear sky,Rio Xingu Camping
222,Sechelt,CA,63.07,49.4664,-123.7694,overcast clouds,The Driftwood Inn
223,Perdoes,BR,82.63,-21.0908,-45.0914,overcast clouds,Talismã Motel
224,Ibra,OM,94.51,22.6906,58.5334,clear sky,مزرعة راحة النفوس المنزفة
226,Pregradnaya,RU,60.26,43.9508,41.1994,broken clouds,"Gora ""Shunina"""
227,Tiquisate,GT,91.02,14.2833,-91.3667,overcast clouds,Hotel y Restaurante El Buen Pastor
228,Capao Da Canoa,BR,60.04,-29.7456,-50.0097,clear sky,Hotel Araçá
230,Alyangula,AU,69.67,-13.8483,136.4192,overcast clouds,Groote Eylandt Lodge
232,Santa Isabel Do Rio Negro,BR,83.77,-0.4139,-65.0192,broken clouds,Hotel GSA
233,San Cristobal,VE,77.18,7.7669,-72.225,scattered clouds,Posada Villaven C.A.
234,Susanville,US,72.09,40.4163,-120.653,clear sky,Red Lion Inn & Suites Susanville
236,Arkadelphia,US,62.89,34.1209,-93.0538,clear sky,COLLEGE INN MOTEL
238,Chicama,PE,66.74,-7.8447,-79.1469,broken clouds,Balihai Bungalows
239,Fernandopolis,BR,88.09,-20.2839,-50.2464,overcast clouds,Ramada Encore by Wyndham Fernandopolis
240,Phon Thong,TH,84.87,16.3016,103.9768,broken clouds,ตอตอมอมอ
242,Carnarvon,AU,60.87,-24.8667,113.6333,clear sky,Hospitality Carnarvon
244,Wiarton,CA,64.4,44.7407,-81.1332,few clouds,Waterview On The Bay
247,Lazaro Cardenas,MX,86.99,17.9583,-102.2,broken clouds,Hotel Quinta Antigua
248,Jambi,ID,78.01,-1.6,103.6167,overcast clouds,ASTON Jambi Hotel & Conference Center
249,Imbituba,BR,62.49,-28.24,-48.6703,overcast clouds,Praia Hotel Imbituba
250,Harper,LR,82.51,4.375,-7.7169,light rain,Screensaver
252,Bam,IR,92.82,29.106,58.357,clear sky,Bam Tourist Hotel
253,Fort Walton Beach,US,79.0,30.4058,-86.6188,clear sky,Best Western Ft. Walton Beachfront
254,Sorong,ID,79.61,-0.8833,131.25,light rain,waigo splash hotel
255,Akyab,MM,83.19,20.15,92.9,overcast clouds,Hotel Memory
258,Cao Bang,VN,78.21,22.6667,106.25,light rain,khách sạn 88
262,Sabang,ID,84.11,5.8933,95.3214,scattered clouds,Hotel Citra
263,Netrakona,BD,82.74,24.8833,90.7167,scattered clouds,kurpar gas office
266,Santa Cruz,BO,75.25,-17.8,-63.1667,broken clouds,Aviador Hotel Boutique
269,Wanning,CN,82.49,18.8003,110.3967,broken clouds,Paradise Hotel
272,Avarua,CK,69.85,-21.2078,-159.775,broken clouds,Paradise Inn
276,North Bend,US,60.17,43.4065,-124.2243,broken clouds,Red Lion Hotel Coos Bay
277,Porto Novo,BJ,84.02,6.4965,2.6036,broken clouds,Tour Eiffel Hotel Benin
278,Abu Zabad,SD,93.65,12.35,29.25,broken clouds,حامد محمد نور
279,Tikrit,IQ,94.89,34.6071,43.6782,scattered clouds,فندق تكريت بلازا
281,Todos Santos,MX,90.19,23.45,-110.2167,broken clouds,Hotel California Todos Santos
283,Sanandaj,IR,71.55,35.3144,46.9923,clear sky,Sanandaj Tourist Hotel
284,Makhu,IN,95.86,31.1033,74.9978,clear sky,Kulwinder telecom
286,Morant Bay,JM,85.62,17.8815,-76.4093,few clouds,Whispering Bamboo Cove Resort
287,Jacareacanga,BR,92.95,-6.2222,-57.7528,clear sky,Casa do Ian😎
291,Nouadhibou,MR,65.77,20.931,-17.0347,overcast clouds,El Medina
292,Vila,PT,76.75,42.0304,-8.1588,scattered clouds,Hotel Castrum Villae by Walk Hotels
294,Coruripe,BR,81.48,-10.1256,-36.1756,overcast clouds,Pousada e Hotel Litoral Sul
