City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Imbituba,BR,-28.24,-48.6703,62.49,63,100,7.85,overcast clouds
250,Harper,LR,4.375,-7.7169,82.51,80,93,9.08,light rain
251,Tank,PK,32.2217,70.3793,102.36,16,8,3.91,clear sky
252,Bam,IR,29.106,58.357,92.82,8,0,9.4,clear sky
253,Fort Walton Beach,US,30.4058,-86.6188,79.0,53,1,4.0,clear sky
254,Sorong,ID,-0.8833,131.25,79.61,88,100,12.86,light rain
255,Akyab,MM,20.15,92.9,83.19,82,89,4.56,overcast clouds
256,Fortuna,US,40.5982,-124.1573,57.65,87,97,5.32,overcast clouds
257,Maiduguri,NG,11.8464,13.1603,106.16,6,0,14.36,clear sky
258,Cao Bang,VN,22.6667,106.25,78.21,96,100,1.83,light rain
259,Jalu,LY,29.0331,21.5482,101.35,13,2,10.33,clear sky
260,Svetlaya,RU,46.5389,138.3297,41.31,91,95,2.89,overcast clouds
261,Chapayevka,UA,47.4711,36.3451,69.75,59,57,8.41,broken clouds
262,Sabang,ID,5.8933,95.3214,84.11,70,37,18.57,scattered clouds
263,Netrakona,BD,24.8833,90.7167,82.74,75,31,5.55,scattered clouds
264,Ust-Maya,RU,60.4167,134.5333,53.56,56,93,9.17,overcast clouds
265,Gualeguay,AR,-33.1416,-59.3097,58.78,40,3,5.37,clear sky
266,Santa Cruz,BO,-17.8,-63.1667,75.25,50,75,13.8,broken clouds
267,Alice Springs,AU,-23.7,133.8833,40.55,56,60,5.84,broken clouds
268,Cradock,ZA,-32.1642,25.6192,51.64,55,2,3.62,clear sky
269,Wanning,CN,18.8003,110.3967,82.49,86,73,11.14,broken clouds
270,Mount Isa,AU,-20.7333,139.5,51.57,37,4,0.0,clear sky
271,Norman Wells,CA,65.282,-126.8329,37.44,93,90,9.22,overcast clouds
272,Avarua,CK,-21.2078,-159.775,69.85,78,75,3.44,broken clouds
273,Zhigansk,RU,66.7697,123.3711,49.12,52,1,10.51,clear sky
274,Hay River,CA,60.8156,-115.7999,44.58,70,75,8.05,broken clouds
275,Wangaratta,AU,-36.3667,146.3333,45.63,100,75,2.3,broken clouds
276,North Bend,US,43.4065,-124.2243,60.17,79,75,3.44,broken clouds
277,Porto Novo,BJ,6.4965,2.6036,84.02,63,64,11.39,broken clouds
278,Abu Zabad,SD,12.35,29.25,93.65,29,69,10.4,broken clouds
279,Tikrit,IQ,34.6071,43.6782,94.89,13,39,9.55,scattered clouds
280,Kayerkan,RU,69.3497,87.7602,37.2,81,100,28.68,light rain
281,Todos Santos,MX,23.45,-110.2167,90.19,53,54,7.11,broken clouds
282,Nysa,PL,50.4738,17.3344,59.68,77,96,7.76,overcast clouds
283,Sanandaj,IR,35.3144,46.9923,71.55,19,0,6.49,clear sky
284,Makhu,IN,31.1033,74.9978,95.86,26,0,14.67,clear sky
285,Kyzyl-Suu,KG,42.3414,78.0056,59.34,54,95,2.37,overcast clouds
286,Morant Bay,JM,17.8815,-76.4093,85.62,72,22,9.62,few clouds
287,Jacareacanga,BR,-6.2222,-57.7528,92.95,39,4,4.72,clear sky
288,Bulgan,MN,48.8125,103.5347,38.05,91,93,4.34,overcast clouds
289,Avera,US,33.194,-82.5271,76.71,52,49,7.96,scattered clouds
290,Chaihe,CN,44.7667,129.7,54.75,76,100,3.27,overcast clouds
291,Nouadhibou,MR,20.931,-17.0347,65.77,89,90,26.17,overcast clouds
292,Vila,PT,42.0304,-8.1588,76.75,50,49,4.27,scattered clouds
293,Teguldet,RU,57.3064,88.1667,44.44,57,96,4.83,overcast clouds
294,Coruripe,BR,-10.1256,-36.1756,81.48,71,96,11.48,overcast clouds
295,Ejura,GH,7.3856,-1.3562,89.47,52,92,7.81,overcast clouds
296,Banda Aceh,ID,5.5577,95.3222,81.7,71,81,12.33,broken clouds
297,Kharp,RU,66.8014,65.8081,36.45,72,85,17.43,overcast clouds
298,Komsomolskiy,UZ,40.4272,71.7189,84.92,21,25,16.11,scattered clouds
299,Sept-Iles,CA,50.2001,-66.3821,57.25,59,1,5.01,clear sky
300,Pedernales,DO,18.0384,-71.744,84.43,62,4,6.04,clear sky
301,Qasigiannguit,GL,68.8193,-51.1922,52.05,56,43,4.25,scattered clouds
302,Tarata,BO,-17.6167,-66.0167,69.22,46,90,2.33,overcast clouds
303,Eskil,TR,38.4017,33.4131,76.78,26,1,7.11,clear sky
304,Chalmette,US,29.9427,-89.9634,77.05,60,1,1.99,clear sky
305,Abu Samrah,SY,35.3029,37.1841,82.9,22,0,13.15,clear sky
306,Smithers,CA,54.7804,-127.1743,51.13,70,100,1.21,overcast clouds
307,Valparaiso,CL,-33.0393,-71.6273,75.43,35,0,13.8,clear sky
308,Touros,BR,-5.1989,-35.4608,88.7,66,45,13.44,scattered clouds
309,Hambantota,LK,6.1241,81.1185,81.01,79,98,20.27,overcast clouds
310,Lavrentiya,RU,65.5833,-171.0,31.46,82,6,10.76,clear sky
311,Mineros,BO,-17.1167,-63.2333,74.79,45,99,8.05,overcast clouds
312,Rawson,AR,-43.3002,-65.1023,43.09,65,75,13.65,broken clouds
313,Sangar,RU,63.9242,127.4739,40.03,93,16,3.71,few clouds
314,Kidal,ML,18.4411,1.4078,108.01,4,89,14.18,overcast clouds
315,San Pedro,PH,14.35,121.0167,84.34,87,20,2.82,few clouds
316,Nuuk,GL,64.1835,-51.7216,36.21,80,90,9.22,overcast clouds
317,Tuktoyaktuk,CA,69.4541,-133.0374,33.98,76,8,6.29,clear sky
318,Mogadishu,SO,2.0371,45.3438,78.75,81,100,13.78,overcast clouds
319,Buchanan,LR,5.8808,-10.0467,78.76,72,76,7.05,light rain
320,San Quintin,MX,30.4833,-115.95,61.03,71,99,9.73,overcast clouds
321,Abha,SA,18.2164,42.5053,75.45,53,20,4.27,few clouds
322,Batagay-Alyta,RU,67.8006,130.4114,40.69,84,92,7.4,overcast clouds
323,Yuksekova,TR,37.5736,44.2872,70.43,30,20,14.97,few clouds
324,Hualmay,PE,-11.0964,-77.6139,69.46,74,52,9.66,broken clouds
325,Bardiyah,LY,31.7561,25.0865,74.53,69,1,19.19,clear sky
326,Yulara,AU,-25.2406,130.9889,55.24,44,100,8.05,overcast clouds
327,Hirara,JP,24.8,125.2833,79.38,84,100,14.58,light rain
328,Giyani,ZA,-23.3025,30.7187,70.65,39,0,7.43,clear sky
329,Latung,PH,5.5,120.8833,84.02,74,51,6.35,broken clouds
330,Kapoeta,SS,4.7717,33.5903,88.3,33,5,16.53,clear sky
331,Ziniare,BF,12.5822,-1.2983,98.64,18,46,5.26,scattered clouds
332,Pelym,RU,61.0108,61.9978,41.83,86,100,7.65,overcast clouds
333,Constitucion,CL,-35.3333,-72.4167,58.41,51,72,6.13,broken clouds
334,Hasaki,JP,35.7333,140.8333,63.0,79,25,11.59,scattered clouds
335,Lasa,IT,46.6166,10.7002,71.51,64,34,5.82,scattered clouds
336,Oum Hadjer,TD,13.2954,19.6966,107.62,7,1,8.52,clear sky
337,San-Pedro,CI,4.7485,-6.6363,84.09,70,42,8.63,scattered clouds
338,Kermanshah,IR,34.3142,47.065,83.3,10,0,11.5,clear sky
339,Yar-Sale,RU,66.8333,70.8333,44.53,49,61,19.1,broken clouds
340,Vestmanna,FO,62.1564,-7.1664,54.52,54,56,15.68,broken clouds
341,Antofagasta,CL,-23.65,-70.4,70.21,59,41,6.55,scattered clouds
342,Khatanga,RU,71.9667,102.5,35.35,99,100,4.12,overcast clouds
